Dataset,N_pairs,Mean_rN,SD_rN,Mean_rT,SD_rT,P25_rN,P50_rN,P75_rN,P90_rN,P95_rN,P99_rN,P999_rN,P25_rT,P50_rT,P75_rT,P90_rT,P95_rT,P99_rT,P999_rT
Basal,3483480,0.012075735754632506,0.2616350800568317,0.013323288985109788,0.12285790588246652,-0.14386647205187608,-0.01321860561630714,0.14678993392969353,0.35109365162379547,0.5045900712938434,0.7724617843567064,0.949878045692106,-0.0586345246383029,-0.011942601786382397,0.06090122908438407,0.16206624112604712,0.24281977759340415,0.448429066330261,0.7547796501473543
Her2,3420420,0.009710429242086671,0.28451762022910093,0.015958885303542513,0.1461631370148091,-0.17650151419025295,-0.022080490969976486,0.16838223318017834,0.3975352422429758,0.5501684937451161,0.789930886586652,0.9377334285254963,-0.07696679770299719,-0.01330726270182311,0.08283221753654195,0.20419117598366762,0.2953653523972417,0.5005038047115564,0.7499980663286038
LumA,2049300,0.011606832402314027,0.20163000515282917,0.026206657642871844,0.1322607025466493,-0.1125357599750266,-0.01681101992606704,0.10658380258964677,0.2629323025680201,0.38859738996987886,0.6793437256090705,0.896215092883365,-0.048834121353328264,-0.007967514276997526,0.06490909708022445,0.18999134375007395,0.29575664027793785,0.5225747763026439,0.7596305431990175
LumB,3890655,0.009313899543465206,0.28305878983819216,0.02582225899207304,0.12381681031867608,-0.169713400657437,-0.020277731812244293,0.16541132425899535,0.3914844974202329,0.5455376357840127,0.7849846192281622,0.9356710661811194,-0.04744002196135834,-0.003180928351155214,0.0689415048080774,0.17432570868924982,0.2647555099929926,0.48850073763889207,0.7488888256909108
LUAD_Upper,4054128,0.02184087925717724,0.1999972086483962,0.013106419171249873,0.13016564023636076,-0.11156791155658366,-0.0034783092487936226,0.1302892484896625,0.27900473840098994,0.3858490385450749,0.6330626572575475,0.9066306979540094,-0.06381937148960241,-0.01255258382350297,0.0656454975732726,0.16871669787220764,0.2491176341954479,0.4757076455334619,0.8183095917273031
LUAD_Lower,2745996,0.020921881084823686,0.21850109157851397,0.016718422385283337,0.16547653364147652,-0.12677000454370252,-0.00934546226833196,0.1375997610772378,0.30324841204232567,0.4223959719416185,0.7093235055024806,0.9476176182772623,-0.0867130873112591,-0.018183947142191105,0.08859945395454318,0.2248219818125618,0.32836628458304207,0.603441304275332,0.8635067460297617
Larynx,1740045,0.056505967377052956,0.28304972830953745,0.022036474113373797,0.17354498588556264,-0.12970095367808962,-0.019673297403651334,0.18133069838572208,0.4583963350573882,0.6821907565918426,0.9310430507574894,0.9779606700861248,-0.08616368548162481,-0.019526768464838917,0.08765429844447487,0.22909229390875158,0.3427722089015407,0.719375241252733,0.9677937639969686
OralCavity,3483480,0.04949348243813485,0.2712289129927127,0.02525870339136123,0.13188656056609438,-0.14485963419316222,0.0025026711875896063,0.2112835308364159,0.433023938552434,0.5700111123752751,0.8000498798593776,0.952568941240135,-0.05809403927872478,-0.0012971043623564577,0.08483688945233858,0.19288642424384508,0.2733601794651751,0.4653214524796381,0.7528144494356659
Oropharynx,3407355,0.045136480975517104,0.2767164371686149,0.023194552375833302,0.19268276972710746,-0.15323190725555147,0.003024951319437124,0.20978538023525328,0.42949676098844775,0.5710716453128695,0.8192837738532008,0.9688055628492815,-0.1058783491550501,-0.018536214080971985,0.11763530341512107,0.2828914966361603,0.4000529241311891,0.6457739894433006,0.8734542717219271
CIN,6253416,0.05081130721856894,0.3383485654917719,0.05075884393857475,0.17479164424974997,-0.18654988139562367,-0.035806337650229406,0.24658921738211062,0.5527020634822193,0.7566604008713675,0.9610579721490283,0.993222896662892,-0.055827036470045735,-0.0011615990315172312,0.1033538860597181,0.2661399468844442,0.40948060238974704,0.7489602189759803,0.9368600730462129
MSI,3396921,0.03388704196482384,0.39321686099025727,0.06754322982213572,0.21094821806338201,-0.2573313442209826,-0.08963457822411754,0.30079595571553314,0.6793259793080576,0.8133513034487637,0.9256057912951751,0.9728006701694029,-0.08011294621327449,0.02383824401128643,0.17913887006278803,0.3630287900721177,0.4843511746978213,0.7031482511678561,0.8776781381474023
